,Open,High,Close
2584,240.37,242.12,241.3
2583,241.56,242.3,240.39
2582,241.49,241.61,231.63
2581,231.09,234.89,234.55
2580,235.23,235.99,231.68
2579,232.32,232.86,228.33
2578,228.98,229.55,228.02
2577,228.49,229.96,228.99
2576,230.23,234.27,234.25
2575,233.79,234.52,231.51
2574,231.28,232.47,230.47
2573,233.23,238.57,234.03
2572,234.73,242.22,241.87
2571,241.49,243.99,243.84
2570,244.09,245.18,242.03
2569,242.97,244.37,242.99
2568,242.46,247.02,244.97
2567,248.85,251.13,250.11
2566,251.25,252.75,252.75
2565,254.03,256.76,252.39
2564,251.95,254.14,248.89
2563,247.51,248.49,244.16
2562,244.23,245.63,245.12
2561,246.5,246.57,240.66
2560,240.64,242.62,239.76
2559,242.46,250.02,249.78
2558,250.75,252.5,244.29
2557,245.71,249.2,248.17
2556,249.25,249.62,246.48
2555,247.25,249.25,247.41
2554,248.49,252.75,251.0
2553,253.25,253.26,241.12
2552,241.55,242.74,240.99
2551,238.99,239.24,233.81
2550,234.28,236.89,235.98
2549,237.15,237.41,235.24
2548,234.26,237.11,235.75
2547,236.06,236.58,231.18
2546,230.57,231.43,229.37
2545,229.81,231.62,229.78
2544,230.23,234.8,233.2
2543,233.23,233.3,230.97
2542,231.63,235.31,235.2
2541,234.47,236.61,236.29
2540,235.15,239.58,238.17
2539,239.58,242.36,238.16
2538,238.11,238.71,235.55
2537,236.65,237.86,232.7
2536,227.73,230.13,224.61
2535,225.43,227.06,224.95
2534,221.56,226.44,224.34
2533,222.78,224.57,219.56
2532,218.73,222.97,220.69
2531,223.96,229.73,229.0
2530,231.58,231.8,228.05
2529,229.84,232.98,227.59
2528,229.23,229.43,226.71
2527,226.51,227.85,227.6
2526,225.28,226.19,221.74
2525,221.84,224.55,224.22
2524,224.15,225.14,223.32
2523,223.05,223.57,220.65
2522,221.85,224.47,223.84
2521,223.12,224.02,222.86
2520,222.87,228.51,228.5
2519,228.03,231.32,231.25
2518,230.96,231.93,231.15
2517,230.51,232.73,232.73
2516,232.01,232.85,232.04
2515,231.17,232.95,231.17
2514,232.51,233.23,230.69
2513,231.28,231.93,229.31
2512,229.11,229.49,229.49
2511,232.26,237.36,236.54
2510,236.31,236.74,235.75
2509,235.89,236.28,235.99
2508,236.73,236.74,234.34
2507,233.78,235.63,233.48
2506,233.26,234.93,232.5
2505,232.23,234.23,233.93
2504,234.46,234.62,233.38
2503,234.46,238.73,237.37
2502,237.14,238.43,236.64
2501,235.87,240.19,238.24
2500,237.49,241.22,236.06
2499,245.51,246.5,241.48
2498,240.29,242.74,239.78
2497,239.54,240.23,239.0
2496,240.24,240.93,239.23
2495,239.29,242.47,240.83
2494,240.28,241.44,239.74
2493,239.81,240.92,235.93
2492,236.33,236.64,234.73
2491,234.56,235.78,233.12
2490,233.34,237.27,236.85
2489,235.3,237.66,235.8
2488,236.31,236.65,233.87
2487,233.3,234.32,233.64
2486,233.31,236.1,234.86
2485,233.75,234.98,230.97
2484,231.15,233.73,233.6
2483,232.97,233.99,231.12
2482,231.21,231.5,229.23
2481,231.23,236.81,236.54
2480,236.47,237.85,235.72
2479,236.25,236.59,235.4
2478,235.0,239.84,235.54
2477,236.74,239.74,238.17
2476,240.65,241.95,237.22
2475,237.81,239.84,237.4
2474,240.09,242.72,242.0
2473,242.74,246.15,243.8
2472,242.49,249.67,249.55
2471,250.53,254.64,249.2
2470,250.75,252.76,250.45
2469,249.2,255.51,253.79
2468,255.13,259.76,259.68
2467,258.63,260.65,259.38
2466,260.13,263.51,257.79
2465,258.36,260.08,258.0
2464,257.27,259.38,255.93
2463,254.61,256.09,252.64
2462,253.8,254.52,252.87
2461,252.94,253.19,251.67
2460,254.35,254.75,253.2
2459,253.34,258.26,257.86
2458,257.26,258.88,257.41
2457,258.74,259.63,255.24
2456,255.75,257.9,257.31
2455,258.47,262.76,262.75
2454,264.75,267.76,263.97
2453,266.63,266.87,265.4
2452,262.76,264.26,263.41
2451,262.7,265.01,262.77
2450,263.27,263.96,261.61
2449,263.01,266.19,265.46
2448,265.8,267.47,267.44
2447,268.05,272.47,271.09
2446,270.9,272.21,269.97
2445,271.77,274.64,271.55
2444,272.17,273.77,271.94
2443,272.08,273.52,272.51
2442,273.2,273.93,272.94
2441,274.23,276.61,276.36
2440,275.43,279.57,276.77
2439,277.8,279.14,277.78
2438,277.22,277.53,275.02
2437,277.01,277.04,274.57
2436,256.21,261.85,260.32
2435,259.76,260.26,256.51
2434,254.9,259.6,257.26
2433,258.75,258.77,255.13
2432,254.62,256.55,254.25
2431,254.52,258.57,256.2
2430,256.72,259.93,258.31
2429,260.38,260.48,255.25
2428,255.51,258.51,256.73
2427,257.12,257.75,255.76
2426,255.28,256.86,251.75
2425,251.75,255.33,255.25
2424,255.13,260.2,258.27
2423,259.93,263.15,263.15
2422,260.66,263.67,257.62
2421,255.35,259.62,258.13
2420,260.03,260.13,258.01
2419,258.12,258.96,254.55
2418,254.75,256.1,249.02
2417,246.26,248.46,246.01
2416,248.97,250.75,250.27
2415,251.48,251.53,249.21
2414,249.72,254.33,253.56
2413,255.23,258.38,256.63
2412,258.26,258.32,256.35
2411,256.56,258.03,257.76
2410,257.47,258.98,256.89
2409,256.02,257.75,253.45
2408,254.17,256.91,256.7
2407,256.44,257.96,255.96
2406,256.81,258.51,257.88
2405,257.77,264.26,262.84
2404,261.96,265.0,264.16
2403,264.94,265.18,262.02
2402,259.19,260.88,259.93
2401,260.9,261.3,257.5
2400,258.75,261.09,260.93
2399,260.53,264.25,261.59
2398,262.29,263.87,262.65
2397,261.86,265.4,264.64
2396,263.53,264.9,262.91
2395,263.52,268.89,267.9
2394,269.9,275.0,273.7
2393,273.77,278.68,276.69
2392,278.45,280.68,280.33
2391,280.78,286.02,284.29
2390,282.28,285.06,284.78
2389,285.49,286.18,284.36
2388,286.15,286.16,284.03
2387,283.78,285.06,283.92
2386,285.27,292.47,291.57
2385,291.98,298.7,292.49
2384,293.42,294.79,292.3
2383,292.84,292.84,289.8
2382,293.85,298.3,297.32
2381,297.8,305.44,305.11
2380,307.86,312.2,307.9
2379,310.99,313.15,313.01
2378,317.14,321.03,311.31
2377,312.3,319.52,319.01
2376,319.55,320.25,310.37
2375,309.55,313.27,308.31
2374,315.54,317.32,317.06
2373,318.02,321.01,320.13
2372,327.61,329.57,322.68
2371,319.65,327.83,325.7
2370,330.96,339.14,338.22
2369,336.69,339.07,338.25
2368,339.68,339.82,334.59
2367,337.35,338.61,337.64
2366,339.22,340.34,339.95
2365,339.09,350.3,347.73
2364,350.7,353.85,353.85
2363,351.75,357.22,351.96
2362,355.61,357.15,355.98
2361,353.85,365.48,363.19
2360,369.15,371.27,371.27
2359,370.94,373.99,366.84
2358,367.67,367.81,347.27
2357,338.23,341.28,332.32
2356,329.2,335.3,316.35
2355,322.82,330.79,330.61
2354,336.98,338.08,321.16
2353,319.6,324.07,315.14
2352,317.29,318.06,317.13
2351,315.11,318.7,313.24
2350,318.56,329.88,324.59
2349,322.21,335.32,330.59
2348,335.33,339.48,338.69
2347,340.4,347.0,333.3
2346,337.74,338.55,337.12
2345,341.4,347.5,346.48
2344,345.72,351.75,348.85
2343,355.86,355.89,346.85
2342,345.85,347.85,341.11
2341,339.49,346.35,342.42
2340,346.71,349.81,349.6
2339,349.25,358.64,357.99
2338,357.85,359.36,357.79
2337,358.35,362.76,359.57
2336,360.33,360.86,349.95
2335,357.36,357.52,350.02
2334,348.5,349.16,347.37
2333,344.1,350.2,345.32
2332,344.34,348.06,334.95
2331,337.42,338.69,337.01
2330,337.44,340.09,339.02
2329,343.26,345.85,345.19
2328,349.29,349.98,348.69
2327,347.84,350.72,350.72
2326,349.84,356.97,355.78
2325,353.89,358.36,350.72
2324,352.82,354.33,351.62
2323,349.63,351.6,346.09
2322,346.78,349.03,342.94
2321,342.97,343.77,343.01
2320,340.18,340.82,328.83
2319,327.3,331.47,324.95
2318,326.83,330.31,316.16
2317,315.34,327.0,326.93
2316,322.83,328.93,323.69
2315,321.67,325.06,319.44
2314,325.9,329.03,327.24
2313,323.43,324.85,319.14
2312,314.8,320.31,308.28
2311,310.69,313.18,300.7
2310,304.48,305.3,300.43
2309,281.3,299.05,292.47
2308,280.64,284.28,274.58
2307,279.68,290.13,287.53
2306,296.2,297.8,283.48
2305,285.77,286.41,278.27
2304,280.52,280.95,275.54
2303,274.87,280.5,274.41
2302,269.77,286.79,282.43
2301,264.6,268.6,258.21
2300,254.79,256.65,247.96
2299,244.96,254.75,253.65
2298,255.83,255.84,251.11
2297,248.68,257.35,252.73
2296,254.96,259.12,258.6
2295,260.52,262.12,260.84
2294,261.96,265.57,259.3
2293,261.51,267.76,267.58
2292,269.44,270.79,266.39
2291,264.42,266.6,265.08
2290,267.74,267.8,254.73
2289,252.01,255.76,254.75
2288,256.68,256.86,251.68
2287,251.28,254.75,254.15
2286,253.23,253.5,243.46
2285,230.83,233.47,232.33
2284,230.3,237.98,236.67
2283,235.49,239.78,237.93
2282,236.17,240.11,235.83
2281,235.99,236.6,228.74
2280,225.7,226.91,222.52
2279,222.85,227.31,224.07
2278,224.07,226.88,216.57
2277,214.65,220.22,216.89
2276,214.63,215.72,207.02
2275,212.84,220.3,220.14
2274,220.23,224.16,220.31
2273,216.55,223.71,221.73
2272,221.71,224.89,219.18
2271,214.21,217.07,210.14
2270,214.7,220.64,219.8
2269,220.78,223.97,216.22
2268,213.87,218.07,216.99
2267,219.43,233.12,230.51
2266,228.96,228.96,225.62
2265,226.52,231.67,229.32
2264,223.22,224.53,222.26
2263,223.95,227.01,219.26
2262,218.04,221.57,220.46
2261,224.09,233.48,233.09
2260,235.18,238.11,233.08
2259,231.1,231.88,227.79
2258,228.73,239.15,235.78
2257,238.75,242.96,238.65
2256,236.76,237.31,234.14
2255,234.8,236.24,232.33
2254,232.71,237.17,234.78
2253,232.27,233.86,228.95
2252,228.81,228.95,226.06
2251,229.29,230.09,223.64
2250,222.42,229.37,227.74
2249,228.04,229.91,224.99
2248,267.87,274.12,269.97
2247,269.96,271.57,269.16
2246,269.05,280.7,277.78
2245,279.25,279.93,273.52
2244,275.92,277.52,271.79
2243,274.78,276.78,272.3
2242,273.21,278.68,276.34
2241,275.69,281.98,279.51
